id,ra_deg,dec_deg,magnitude
HIP7918,25.453660,42.612043,4.960
HIP7921,25.450018,-60.789637,5.700
HIP7941,25.512225,-36.832428,5.700
HIP7943,25.514965,35.245525,5.630
HIP7955,25.535183,-32.327311,5.250
HIP7963,25.573943,58.627678,6.350
HIP7965,25.586365,68.042945,5.570
HIP7978,25.623953,-53.741620,5.520
HIP7981,25.621679,20.263518,5.240
HIP7999,25.681204,-3.690453,4.980
HIP8016,25.734095,70.622426,5.180
HIP8020,25.743037,61.421004,6.330
HIP8044,25.820086,45.322686,6.330
HIP8046,25.832468,60.551216,5.780
HIP8068,25.915405,50.688632,4.010
HIP8086,25.958888,32.192025,6.320
HIP8094,25.978143,-4.765741,6.200
HIP8102,26.004004,-15.931193,3.490
HIP8115,26.075395,57.536482,6.180
HIP8127,26.110454,46.139459,6.320
HIP8143,26.182072,-6.766129,6.450
HIP8148,26.192585,57.089240,6.250
HIP8159,26.232262,20.082373,6.270
HIP8198,26.348988,9.158023,4.260
HIP8209,26.412741,-25.053143,5.290
HIP8230,26.496848,-5.733518,5.370
HIP8233,26.505196,-27.349163,6.380
HIP8240,26.525309,-50.816384,5.490
HIP8241,26.527446,-53.521602,5.040
HIP8320,26.819699,-41.759567,6.180
HIP8362,26.944742,63.850684,5.630
HIP8366,26.941270,-80.176741,6.050
HIP8369,26.949037,-37.159333,6.330
HIP8370,26.950187,46.229341,6.330
HIP8387,27.046000,16.955308,5.860
HIP8404,27.108337,3.685577,5.910
HIP8423,27.163164,37.952671,5.940
HIP8433,27.171792,32.692399,5.780
HIP8475,27.314568,47.896840,6.010
HIP8480,27.331621,-31.072584,6.350
HIP8497,27.395155,-10.687105,4.660
HIP8514,27.453620,-38.400718,6.370
HIP8544,27.535596,22.275282,5.830
HIP8552,27.585218,-47.816036,6.140
HIP8588,27.716030,11.043173,5.920
HIP8593,27.726333,-50.206170,5.940
HIP8598,27.738461,51.932567,5.960
HIP8641,27.859966,-39.836117,6.440
HIP8645,27.865430,-10.335318,3.740
HIP8664,27.907531,-6.874212,6.420
HIP8688,27.942178,-15.647469,6.440
HIP8704,27.997301,55.147324,5.530
HIP8714,28.039234,50.792583,5.700
HIP8771,28.211209,51.474786,6.280
HIP8778,28.217448,-16.929632,5.780
HIP8796,28.270542,29.577109,3.420
HIP8814,28.322187,40.729759,5.420
HIP8820,28.347672,-38.594415,6.090
HIP8832,28.383169,19.293123,3.880
HIP8833,28.389130,3.187712,4.610
HIP8837,28.410546,-46.303342,4.390
HIP8847,28.452663,55.597543,6.440
HIP8882,28.591487,-42.497159,5.120
HIP8886,28.599291,63.669964,3.350
HIP8903,28.660778,20.807234,2.640
HIP8922,28.724499,40.701530,6.250
HIP8928,28.735051,-67.646764,4.680
HIP8930,28.740569,37.128154,6.280
HIP8957,28.831270,-60.312781,6.430
HIP8983,28.943854,-60.860483,6.070
HIP8991,28.963385,-78.348157,6.150
HIP8993,28.962757,23.577257,5.760
HIP8998,28.975467,1.851384,6.010
HIP9001,28.977087,37.277740,5.890
HIP9007,28.996535,-51.606804,3.690
HIP9009,29.000335,68.685170,4.970
HIP9021,29.040596,37.251908,5.690
HIP9022,29.039339,-49.836343,6.370
HIP9061,29.167981,-22.527007,4.920
HIP9085,29.253564,-51.764408,6.100
HIP9094,29.287279,-10.244217,6.420
HIP9095,29.292985,-47.385212,4.820
HIP9110,29.337985,17.817357,5.090
HIP9132,29.432377,27.803948,5.840
HIP9149,29.471880,-65.424748,6.360
HIP9153,29.481435,23.595955,4.790
HIP9163,29.496889,47.095470,6.480
HIP9207,29.611207,-33.066936,6.370
HIP9220,29.638641,61.697704,6.020
HIP9222,29.639666,49.204655,5.700
HIP9236,29.695824,-61.569661,2.860
HIP9237,29.692202,-11.301606,6.460
HIP9295,29.857920,12.294630,6.090
HIP9307,29.899771,21.058464,5.890
HIP9312,29.908994,64.621490,5.290
HIP9313,29.911269,-42.031266,5.570
HIP9318,29.921867,-66.066512,6.090
HIP9326,29.942631,-20.824427,5.430
HIP9347,30.002309,-21.078012,3.990
HIP9353,30.039864,3.095136,5.890
HIP9372,30.112411,-8.524015,5.430
HIP9440,30.310461,-30.002631,5.340
HIP9459,30.426271,-44.713868,5.150
HIP9480,30.488434,70.906941,4.490
HIP9487,30.512000,2.763756,3.820
HIP9505,30.575813,54.487516,4.990
HIP9521,30.617642,-29.665572,6.400
HIP9533,30.646154,13.476679,5.970
HIP9562,30.715257,-23.886864,6.300
HIP9564,30.718477,64.901380,6.000
HIP9568,30.737468,77.916226,6.040
HIP9570,30.741354,33.284085,5.500
HIP9572,30.744226,-15.305878,5.870
HIP9573,30.750763,64.390004,5.590
HIP9586,30.792991,73.850584,6.120
HIP9589,30.799098,0.128667,5.420
HIP9598,30.857948,72.421460,3.950
HIP9621,30.914934,25.935539,5.640
HIP9622,30.918754,-4.103977,5.610
HIP9627,30.927473,18.253085,6.240
HIP9631,30.951324,-0.340568,5.960
HIP9640,30.975189,42.329351,2.100
HIP9655,31.052366,-11.859793,6.430
HIP9677,31.122766,-29.296756,4.680
HIP9685,31.147165,-54.881871,6.450
HIP9706,31.212759,7.735662,6.440
HIP9727,31.284369,77.280991,5.270
HIP9763,31.381171,76.114909,5.220
HIP9809,31.550985,8.248029,6.270
HIP9827,31.622587,0.035432,6.290
HIP9836,31.641509,22.648053,5.030
HIP9859,31.705292,25.704446,6.010
HIP9862,31.718026,-19.139136,6.390
HIP9884,31.794856,23.461350,2.010
HIP9951,32.023535,-41.880503,6.500
HIP9977,32.123248,37.858756,4.780
HIP9983,32.139971,44.459080,6.380
HIP9990,32.169078,58.423589,5.660
HIP9999,32.190171,-17.779310,6.070
HIP10035,32.288269,-43.516975,5.840
HIP10050,32.347334,17.222825,6.400
HIP10053,32.356174,25.939648,4.980
HIP10054,32.354269,81.295997,6.050
HIP10064,32.387207,34.987009,3.000
HIP10069,32.394769,-24.346094,6.480
HIP10096,32.452387,-40.866667,6.490
HIP10111,32.520512,-43.815628,6.320
HIP10115,32.532584,53.842759,6.310
HIP10138,32.629482,-50.818908,6.120
HIP10155,32.657328,19.500139,5.680
HIP10176,32.720054,39.039368,6.090
HIP10203,32.800158,25.936887,6.010
HIP10212,32.836784,8.568964,5.640
HIP10215,32.842401,-10.053422,6.000
HIP10220,32.854551,31.526323,6.240
HIP10227,32.871635,57.645530,6.380
HIP10234,32.899222,-1.825674,5.940
HIP10273,33.065797,2.745640,6.490
HIP10280,33.092314,30.302617,4.940
HIP10296,33.156741,24.167732,5.960
HIP10305,33.200848,-2.394175,5.650
HIP10306,33.201608,21.211023,5.230
HIP10309,33.207285,79.691720,6.460
HIP10320,33.227081,-30.723772,5.270
